  8.00 ,"  3,840,000 ","  5,106,000 ","  3,864,000 ","  4,107,000 ","  4,696,000 ","  8,111,000 ","  10,672,000 ","  10,922,000 ","  5,311,000 ","  2,787,000 ","  4,342,000 ","  4,735,000 ","  3,475,000 ","  2,316,000 ","  2,543,000 ","  2,512,000 ","  2,710,000 ","  3,442,000 ","  2,054,000 ","  3,419,000 ","  2,302,000 ","  2,557,000 "
  8.50 ,"  4,015,000 ","  5,371,000 ","  4,055,000 ","  4,311,000 ","  5,005,000 ","  8,485,000 ","  11,152,000 ","  11,434,000 ","  5,603,000 ","  2,921,000 ","  4,629,000 ","  4,982,000 ","  3,664,000 ","  2,435,000 ","  2,667,000 ","  2,636,000 ","  2,841,000 ","  3,625,000 ","  2,160,000 ","  3,601,000 ","  2,417,000 ","  2,683,000 "
  9.00 ,"  4,190,000 ","  5,637,000 ","  4,235,000 ","  4,503,000 ","  5,283,000 ","  8,816,000 ","  11,621,000 ","  11,902,000 ","  5,851,000 ","  3,054,000 ","  4,885,000 ","  5,230,000 ","  3,853,000 ","  2,554,000 ","  2,792,000 ","  2,759,000 ","  2,972,000 ","  3,809,000 ","  2,265,000 ","  3,784,000 ","  2,531,000 ","  2,807,000 "
  9.50 ,"  4,366,000 ","  5,903,000 ","  4,426,000 ","  4,707,000 ","  5,592,000 ","  9,189,000 ","  12,102,000 ","  12,415,000 ","  6,141,000 ","  3,188,000 ","  5,172,000 ","  5,477,000 ","  4,042,000 ","  2,673,000 ","  2,916,000 ","  2,882,000 ","  3,103,000 ","  3,993,000 ","  2,370,000 ","  3,966,000 ","  2,646,000 ","  2,932,000 "
  10.00 ,"  4,541,000 ","  6,169,000 ","  4,604,000 ","  4,899,000 ","  5,870,000 ","  9,519,000 ","  12,570,000 ","  12,883,000 ","  6,389,000 ","  3,322,000 ","  5,428,000 ","  5,724,000 ","  4,231,000 ","  2,792,000 ","  3,040,000 ","  3,005,000 ","  3,234,000 ","  4,176,000 ","  2,475,000 ","  4,149,000 ","  2,761,000 ","  3,057,000 "
  10.50 ,"  4,816,000 ","  6,237,000 ","  5,229,000 ","  5,512,000 ","  6,333,000 ","  13,076,000 ","  13,851,000 ","  14,196,000 ","  7,436,000 ","  4,161,000 ","  5,941,000 ","  5,957,000 ","  4,752,000 ","  3,310,000 ","  4,616,000 ","  4,507,000 ","  4,741,000 ","  5,912,000 ","  4,089,000 ","  4,517,000 ","  4,812,000 ","  4,940,000 "
  11.00 ,"  4,939,000 ","  6,455,000 ","  5,393,000 ","  5,698,000 ","  6,533,000 ","  13,381,000 ","  14,205,000 ","  14,549,000 ","  7,646,000 ","  4,273,000 ","  6,130,000 ","  6,167,000 ","  4,920,000 ","  3,428,000 ","  4,736,000 ","  4,625,000 ","  4,863,000 ","  6,120,000 ","  4,199,000 ","  4,681,000 ","  4,935,000 ","  5,064,000 "
  11.50 ,"  5,061,000 ","  6,675,000 ","  5,570,000 ","  5,896,000 ","  6,764,000 ","  13,729,000 ","  14,570,000 ","  14,946,000 ","  7,899,000 ","  4,384,000 ","  6,349,000 ","  6,377,000 ","  5,087,000 ","  3,545,000 ","  4,855,000 ","  4,742,000 ","  4,984,000 ","  6,329,000 ","  4,310,000 ","  4,846,000 ","  5,057,000 ","  5,189,000 "
  12.00 ,"  5,184,000 ","  6,893,000 ","  5,734,000 ","  6,082,000 ","  6,964,000 ","  14,035,000 ","  14,924,000 ","  15,299,000 ","  8,109,000 ","  4,496,000 ","  6,538,000 ","  6,588,000 ","  5,255,000 ","  3,663,000 ","  4,974,000 ","  4,860,000 ","  5,105,000 ","  6,538,000 ","  4,420,000 ","  5,011,000 ","  5,180,000 ","  5,314,000 "
  12.50 ,"  5,306,000 ","  7,112,000 ","  5,910,000 ","  6,279,000 ","  7,195,000 ","  14,384,000 ","  15,289,000 ","  15,696,000 ","  8,362,000 ","  4,608,000 ","  6,758,000 ","  6,798,000 ","  5,422,000 ","  3,780,000 ","  5,093,000 ","  4,977,000 ","  5,226,000 ","  6,746,000 ","  4,531,000 ","  5,176,000 ","  5,302,000 ","  5,438,000 "
  13.00 ,"  5,429,000 ","  7,331,000 ","  6,074,000 ","  6,465,000 ","  7,394,000 ","  14,689,000 ","  15,642,000 ","  16,049,000 ","  8,572,000 ","  4,719,000 ","  6,946,000 ","  7,007,000 ","  5,590,000 ","  3,898,000 ","  5,213,000 ","  5,095,000 ","  5,348,000 ","  6,954,000 ","  4,641,000 ","  5,340,000 ","  5,424,000 ","  5,563,000 "
  13.50 ,"  5,551,000 ","  7,550,000 ","  6,251,000 ","  6,663,000 ","  7,626,000 ","  15,037,000 ","  16,008,000 ","  16,446,000 ","  8,825,000 ","  4,831,000 ","  7,166,000 ","  7,218,000 ","  5,757,000 ","  4,015,000 ","  5,332,000 ","  5,212,000 ","  5,469,000 ","  7,163,000 ","  4,752,000 ","  5,505,000 ","  5,546,000 ","  5,687,000 "
  14.00 ,"  5,673,000 ","  7,769,000 ","  7,030,000 ","  7,385,000 ","  8,351,000 ","  15,343,000 ","  16,080,000 ","  16,518,000 ","  9,974,000 ","  4,942,000 ","  7,913,000 ","  7,285,000 ","  5,924,000 ","  4,133,000 ","  5,450,000 ","  5,329,000 ","  5,590,000 ","  7,372,000 ","  4,862,000 ","  5,669,000 ","  5,669,000 ","  5,811,000 "
  14.50 ,"  5,796,000 ","  7,987,000 ","  7,220,000 ","  7,596,000 ","  8,594,000 ","  15,692,000 ","  16,440,000 ","  16,910,000 ","  10,248,000 ","  5,054,000 ","  8,146,000 ","  7,492,000 ","  6,092,000 ","  4,250,000 ","  5,570,000 ","  5,447,000 ","  5,711,000 ","  7,581,000 ","  4,973,000 ","  5,834,000 ","  5,792,000 ","  5,936,000 "
  15.00 ,"  5,918,000 ","  8,207,000 ","  7,398,000 ","  7,795,000 ","  8,807,000 ","  15,997,000 ","  16,787,000 ","  17,257,000 ","  10,479,000 ","  5,166,000 ","  8,348,000 ","  7,698,000 ","  6,259,000 ","  4,368,000 ","  5,689,000 ","  5,564,000 ","  5,832,000 ","  7,789,000 ","  5,083,000 ","  5,999,000 ","  5,914,000 ","  6,061,000 "
  15.50 ,"  6,041,000 ","  8,425,000 ","  7,588,000 ","  8,006,000 ","  9,050,000 ","  16,345,000 ","  17,148,000 ","  17,648,000 ","  10,753,000 ","  5,277,000 ","  8,581,000 ","  7,904,000 ","  6,427,000 ","  4,485,000 ","  5,808,000 ","  5,681,000 ","  5,954,000 ","  7,998,000 ","  5,194,000 ","  6,163,000 ","  6,036,000 ","  6,185,000 "
  16.00 ,"  6,163,000 ","  8,644,000 ","  7,766,000 ","  8,205,000 ","  9,263,000 ","  16,651,000 ","  17,495,000 ","  17,996,000 ","  10,983,000 ","  5,389,000 ","  8,783,000 ","  8,111,000 ","  6,594,000 ","  4,603,000 ","  5,927,000 ","  5,799,000 ","  6,075,000 ","  8,207,000 ","  5,304,000 ","  6,328,000 ","  6,158,000 ","  6,310,000 "
  16.50 ,"  6,285,000 ","  8,863,000 ","  7,957,000 ","  8,416,000 ","  9,506,000 ","  16,999,000 ","  17,856,000 ","  18,388,000 ","  11,257,000 ","  5,501,000 ","  9,016,000 ","  8,318,000 ","  6,761,000 ","  4,720,000 ","  6,046,000 ","  5,916,000 ","  6,196,000 ","  8,415,000 ","  5,415,000 ","  6,493,000 ","  6,281,000 ","  6,434,000 "
  17.00 ,"  6,408,000 ","  9,082,000 ","  8,134,000 ","  8,615,000 ","  9,719,000 ","  17,304,000 ","  18,203,000 ","  18,735,000 ","  11,487,000 ","  5,613,000 ","  9,218,000 ","  8,524,000 ","  6,929,000 ","  4,838,000 ","  6,166,000 ","  6,033,000 ","  6,317,000 ","  8,624,000 ","  5,525,000 ","  6,658,000 ","  6,403,000 ","  6,558,000 "
  17.50 ,"  6,530,000 ","  9,301,000 ","  8,324,000 ","  8,826,000 ","  9,963,000 ","  17,653,000 ","  18,563,000 ","  19,126,000 ","  11,761,000 ","  5,724,000 ","  9,451,000 ","  8,730,000 ","  7,096,000 ","  4,955,000 ","  6,285,000 ","  6,151,000 ","  6,438,000 ","  8,832,000 ","  5,636,000 ","  6,822,000 ","  6,526,000 ","  6,683,000 "
  18.00 ,"  6,653,000 ","  9,519,000 ","  8,502,000 ","  9,025,000 ","  10,175,000 ","  17,958,000 ","  18,911,000 ","  19,474,000 ","  11,991,000 ","  5,836,000 ","  9,653,000 ","  8,936,000 ","  7,263,000 ","  5,073,000 ","  6,404,000 ","  6,268,000 ","  6,560,000 ","  9,041,000 ","  5,746,000 ","  6,987,000 ","  6,648,000 ","  6,807,000 "
  18.50 ,"  6,776,000 ","  9,739,000 ","  8,692,000 ","  9,236,000 ","  10,419,000 ","  18,307,000 ","  19,271,000 ","  19,866,000 ","  12,265,000 ","  5,947,000 ","  9,886,000 ","  9,143,000 ","  7,431,000 ","  5,191,000 ","  6,523,000 ","  6,385,000 ","  6,681,000 ","  9,250,000 ","  5,856,000 ","  7,151,000 ","  6,770,000 ","  6,932,000 "
  19.00 ,"  6,898,000 ","  9,957,000 ","  8,871,000 ","  9,434,000 ","  10,631,000 ","  18,612,000 ","  19,619,000 ","  20,213,000 ","  12,496,000 ","  6,060,000 ","  10,088,000 ","  9,349,000 ","  7,598,000 ","  5,308,000 ","  6,642,000 ","  6,503,000 ","  6,802,000 ","  9,458,000 ","  5,967,000 ","  7,316,000 ","  6,893,000 ","  7,057,000 "
  19.50 ,"  7,020,000 ","  10,176,000 ","  9,061,000 ","  9,646,000 ","  10,875,000 ","  18,961,000 ","  19,979,000 ","  20,605,000 ","  12,770,000 ","  6,171,000 ","  10,322,000 ","  9,556,000 ","  7,766,000 ","  5,425,000 ","  6,761,000 ","  6,620,000 ","  6,923,000 ","  9,667,000 ","  6,077,000 ","  7,481,000 ","  7,015,000 ","  7,181,000 "
  20.00 ,"  7,143,000 ","  10,395,000 ","  9,238,000 ","  9,845,000 ","  11,088,000 ","  19,266,000 ","  20,326,000 ","  20,952,000 ","  13,000,000 ","  6,282,000 ","  10,523,000 ","  9,762,000 ","  7,933,000 ","  5,543,000 ","  6,881,000 ","  6,737,000 ","  7,044,000 ","  9,876,000 ","  6,188,000 ","  7,646,000 ","  7,137,000 ","  7,305,000 "
,,,,,,,,,,,,,,,,,,,,,,
 Note: ,,,,,,,,,,,,,,,,,,,,,,
"- Not accepted: Shipments with a length exceeding 240 cm, or (Length + 2 × (Width + Height)) exceeding 300 cm.",,,,,,,,,,,,,,,,,,,,,,
"- Not accepted: Seafood and aquatic products; liquid cosmetics; liquid dietary supplements; powder, meat, eggs, milk; counterfeit/fake goods; and items prohibited under government regulations.",,,,,,,,,,,,,,,,,,,,,,
"- The above rates include fuel surcharge and VAT 0%, exclude other surcharges (remote area surcharge, address correction fee, oversize surcharge, etc.).",,,,,,,,,,,,,,,,,,,,,,
"- The above rates exclude duties, taxes, and charges at destination (if any).",,,,,,,,,,,,,,,,,,,,,,
- Volumetric weight formula:,,,,Length × Width × Height (cm),,,,,,,,,,,,,,,,,,
,,,,5000,,,,,,,,,,,,,,,,,,
- Freight charges are calculated based on the higher of actual weight or volumetric weight.,,,,,,,,,,,,,,,,,,,,,,
"- Additional Handling Surcharge: VND 1,050,000 per bill",,,,,,,,,,,,,,,,,,,,,,
"If a shipment falls under any of the conditions below, it will be charged with a minimum chargeable weight of 18 kg per piece plus the additional handling surcharge:",,,,,,,,,,,,,,,,,,,,,,
" 1.  -The longest side exceeds 120 cm, the second-longest side exceeds 76 cm, or (Length + 2 × (Width + Height)) exceeds 266 cm.",,,,,,,,,,,,,,,,,,,,,,
" 2.  Shipments not packed in cartons or with irregular shapes, such as metal items, buckets, basins, round or cylindrical packages.",,,,,,,,,,,,,,,,,,,,,,
"- Address correction fee: VND 575,000",,,,,,,,,,,,,,,,,,,,,,
"- U.S. Import Processing Fee: VND 43,000 per shipment",,,,,,,,,,,,,,,,,,,,,,
This fee applies to all international shipments imported into the United States for customs clearance processing.,,,,,,,,,,,,,,,,,,,,,,
- Pickup surcharge (applicable only when SGLINK staff collect shipments directly at the shipper’s address):,,,,,,,,,,,,,,,,,,,,,,
"1. Fewer than 10 shipments per pickup: VND 50,000 per pickup",,,,,,,,,,,,,,,,,,,,,,
2. 10 shipments or more per pickup: Free of charge,,,,,,,,,,,,,,,,,,,,,,
- Remote Area Surcharge,,RAS!A1,,,,,,,,,,,,,,,,,,,,
"1. Tier A: 160,000 vnd/bill",,,,,,,,,,,,,,,,,,,,,,
"2. Tier B: 1,200,000 vnd/bill",,,,,,,,,,,,,,,,,,,,,,
"3. Tier C: 1,600,000 vnd/bil",,,,,,,,,,,,,,,,,,,,,,
